disease,symptoms,specialization,severity,min_age,max_age,gender_prevalence
Heart Attack,"Chest Pain,Shortness of Breath,Palpitations,Fatigue,Sweating",Cardiology,Critical,40,100,both
Angina,"Chest Pain,Shortness of Breath,Fatigue",Cardiology,Moderate,40,100,both
Migraine,"Headache,Dizziness,Nausea,Blurred Vision,Sensitivity to Light",Neurology,Moderate,18,60,female
Tension Headache,"Headache,Fatigue,Tight Band Sensation",Neurology,Mild,18,60,both
Fracture,"Broken Bone,Swelling,Joint Pain,Back Pain,Bruising",Orthopedics,Moderate,0,100,both
Influenza,"Fever,Cough,Fatigue,Chills,Body Aches",General,Mild,0,100,both
Common Cold,"Cough,Sore Throat,Fatigue,Runny Nose",General,Mild,0,100,both
Stroke,"Stroke,Dizziness,Muscle Weakness,Memory Loss,Numbness",Neurology,Critical,40,100,both
Gastritis,"Abdominal Pain,Nausea,Vomiting,Burning Sensation,Bloating",Gastroenterology,Moderate,0,100,both
Asthma,"Shortness of Breath,Cough,Chronic Cough,Chest Pain,Wheezing",Pulmonology,Moderate,0,100,both
Arthritis,"Joint Pain,Swelling,Stiff Neck,Back Pain,Redness",Orthopedics,Moderate,40,100,both
Bronchitis,"Cough,Shortness of Breath,Fever,Chills,Chest Discomfort",Pulmonology,Mild,0,100,both
Food Poisoning,"Nausea,Vomiting,Abdominal Pain,Fever,Diarrhea",Gastroenterology,Mild,0,100,both
Sciatica,"Back Pain,Joint Pain,Muscle Weakness,Numbness,Leg Pain",Orthopedics,Moderate,40,100,both
Vertigo,"Dizziness,Headache,Nausea,Blurred Vision,Balance Issues",Neurology,Moderate,0,100,both
Eczema,"Rash,Itching,Hair Loss,Swelling,Dry Skin",Dermatology,Mild,0,100,both
Pharyngitis,"Sore Throat,Cough,Difficulty Swallowing,Fever,Hoarseness",General,Mild,0,100,both
Hypothyroidism,"Fatigue,Weight Loss,Hair Loss,Palpitations,Cold Intolerance",Endocrinology,Moderate,0,100,both
Glaucoma,"Blurred Vision,Headache,Fatigue,Eye Pain,Halos Around Lights",Ophthalmology,Moderate,40,100,both
Otitis Media,"Ear Pain,Fever,Difficulty Swallowing,Hearing Loss,Ear Discharge",ENT,Mild,0,100,both
Rheumatoid Arthritis,"Swelling,Joint Pain,Fatigue,Stiff Neck,Morning Stiffness",Rheumatology,Moderate,40,100,both
Kidney Infection,"Burning Sensation,Frequent Urination,Blood in Urine,Fever,Flank Pain",Urology,Moderate,0,100,both
Hepatitis,"Jaundice,Abdominal Pain,Fatigue,Nausea,Dark Urine",Hepatology,Moderate,0,100,both
Epilepsy,"Seizures,Memory Loss,Dizziness,Muscle Weakness,Confusion",Neurology,Critical,0,100,both
Diabetes,"Frequent Urination,Weight Loss,Fatigue,Blurred Vision,Thirst",Endocrinology,Moderate,0,100,both
Pancreatitis,"Abdominal Pain,Vomiting,Nausea,Fever,Fast Heartbeat",Gastroenterology,Moderate,0,100,both
Arrhythmia,"Palpitations,Chest Pain,Shortness of Breath,Dizziness,Fainting",Cardiology,Moderate,40,100,both
Laryngitis,"Sore Throat,Difficulty Swallowing,Cough,Husky Voice,Throat Dryness",ENT,Mild,0,100,both
Multiple Sclerosis,"Muscle Weakness,Blurred Vision,Memory Loss,Fatigue,Tingling",Neurology,Critical,0,100,both
Urinary Tract Infection,"Burning Sensation,Frequent Urination,Blood in Urine,Abdominal Pain,Cloudy Urine",Urology,Mild,0,100,both
Alopecia,"Hair Loss,Itching,Rash,Scalp Irritation,Bald Patches",Dermatology,Mild,0,100,both
Lymphoma,"Night Sweats,Weight Loss,Fever,Swelling,Lymph Node Enlargement",Oncology,Critical,0,100,both
Bladder Cancer,"Blood in Urine,Frequent Urination,Burning Sensation,Abdominal Pain,Pelvic Pain",Urology,Critical,40,100,both
Tuberculosis,"Chronic Cough,Night Sweats,Fever,Weight Loss,Chest Pain",Pulmonology,Critical,0,100,both
Alzheimer’s Disease,"Memory Loss,Dizziness,Fatigue,Confusion,Disorientation",Neurology,Moderate,60,100,both
Psoriasis,"Rash,Itching,Swelling,Joint Pain,Scaly Skin",Dermatology,Mild,0,100,both
Pneumonia,"Cough,Fever,Shortness of Breath,Chills,Chest Pain",Pulmonology,Critical,0,100,both
Appendicitis,"Abdominal Pain,Nausea,Vomiting,Fever,Loss of Appetite",Gastroenterology,Critical,0,100,both
Meningitis,"Fever,Headache,Stiff Neck,Seizures,Rash",Neurology,Critical,0,100,both
Sinusitis,"Headache,Facial Pain,Nasal Congestion,Fever,Cough",ENT,Moderate,0,100,both
Gallstones,"Abdominal Pain,Nausea,Vomiting,Jaundice,Back Pain",Gastroenterology,Moderate,0,100,both
Celiac Disease,"Abdominal Pain,Bloating,Diarrhea,Weight Loss,Fatigue",Gastroenterology,Moderate,0,100,both
Hyperthyroidism,"Weight Loss,Palpitations,Nervousness,Sweating,Fatigue",Endocrinology,Moderate,0,100,both
Parkinson’s Disease,"Tremors,Muscle Stiffness,Memory Loss,Confusion,Fatigue",Neurology,Critical,60,100,both
Depression,"Fatigue,Sleep Problems,Loss of Interest,Weight Loss,Suicidal Thoughts",Psychiatry,Moderate,0,100,both
Anxiety Disorder,"Palpitations,Restlessness,Fatigue,Sleep Problems,Nervousness",Psychiatry,Moderate,0,100,both
Insomnia,"Sleep Problems,Fatigue,Irritability,Difficulty Concentrating,Restlessness",Psychiatry,Mild,0,100,both
Conjunctivitis,"Eye Redness,Itching,Swelling,Discharge,Blurred Vision",Ophthalmology,Mild,0,100,both
Cataract,"Blurred Vision,Night Vision Issues,Eye Pain,Glare,Faded Colors",Ophthalmology,Moderate,40,100,both
Tonsillitis,"Sore Throat,Swelling,Difficulty Swallowing,Fever,Bad Breath",ENT,Mild,0,100,both
GERD,"Heartburn,Abdominal Pain,Nausea,Chest Pain,Sore Throat",Gastroenterology,Moderate,0,100,both
Hernia,"Abdominal Bulge,Pain,Lump,Fatigue,Burning Sensation",Gastroenterology,Moderate,0,100,both
Measles,"Fever,Rash,Runny Nose,Conjunctivitis,Cough",General,Critical,0,100,both
Chickenpox,"Rash,Fever,Itching,Tiredness,Loss of Appetite",General,Mild,0,100,both
Dengue,"Fever,Joint Pain,Rash,Bleeding,Nausea",General,Critical,0,100,both
Malaria,"Fever,Chills,Sweating,Headache,Vomiting",General,Critical,0,100,both
Typhoid,"Fever,Weakness,Stomach Pain,Diarrhea,Loss of Appetite",General,Moderate,0,100,both
Zika Virus,"Fever,Rash,Joint Pain,Red Eyes,Headache",General,Moderate,0,100,both
Rabies,"Fever,Confusion,Hydrophobia,Hallucinations,Paralysis",General,Critical,0,100,both
Tetanus,"Muscle Spasms,Stiffness,Fever,Sweating,Fast Heartbeat",General,Critical,0,100,both
Leukemia,"Fatigue,Fever,Night Sweats,Bleeding,Weight Loss",Oncology,Critical,0,100,both
Colon Cancer,"Abdominal Pain,Blood in Stool,Fatigue,Weight Loss,Constipation",Oncology,Critical,40,100,both
Skin Cancer,"Rash,Bleeding Lesions,Skin Growths,Itching,Discoloration",Dermatology,Critical,40,100,both
Osteoporosis,"Back Pain,Joint Pain,Stooped Posture,Fractures,Muscle Weakness",Orthopedics,Moderate,50,100,both
Fibromyalgia,"Fatigue,Muscle Pain,Sleep Problems,Joint Stiffness,Mood Issues",Rheumatology,Moderate,0,100,both
Autism Spectrum Disorder,"Speech Delay,Social Withdrawal,Repetitive Behaviors,Hyperactivity,Irritability",Psychiatry,Moderate,0,100,both
ADHD,"Restlessness,Impulsiveness,Difficulty Concentrating,Fidgeting,Mood Swings",Psychiatry,Moderate,0,100,both
Polycystic Ovary Syndrome,"Irregular Periods,Hair Loss,Weight Gain,Acne,Fatigue",Gynecology,Moderate,15,50,female
Endometriosis,"Pelvic Pain,Heavy Periods,Fatigue,Nausea,Back Pain",Gynecology,Moderate,15,50,female
Pre-eclampsia,"High Blood Pressure,Swelling,Blurred Vision,Headache,Fatigue",Gynecology,Critical,15,50,female
